Miller Knox Regional Shoreline| Contra Costa| 1| paved loop around a semi-manicured park on the edge of Point Richmond and the bay| Total elevation | imperceptible
Pillar Point| San Mateo| 1.2| out and back from the outskirts of Princeton harbor to the beach| Total elevation | imperceptible 
Bothin Marsh Open Space Preserve| Marin| 1.6| out and back on a paved multi-use trail right off 101| Total elevation | imperceptible
Martin Luther King Jr. Regional Shoreline| Oakland| 1.7| out and back along Oakland wetlands.| Total elevation | imperceptible 
Cesar Chavez/North Waterfront Park| Alameda| 1.7| loop along the bay.| Total elevation | imperceptible 
Crissy Field| San Francisco| 3.3| out and back through the Presidio with a turn around at Fort Point, under the Golden Gate Bridge. Nice views of the bridge, bay, and Marin Headlands| Total elevation | imperceptible
Crown Memorial State Beach| Alameda| 3.2| out and back on paved sidewalks and the beach.| Total elevation | imperceptible
Contra Costa Canal Trail| Contra Costa| 4.9| out and back on a paved trail running along the Conta Costa Canal bordering residential neighborhoods| Total elevation | imperceptible
Los Alamitos Creek Trail| Santa Clara| 3.9| out and back walk on a paved trail.| Total elevation | is about 150 feet
Sawyer Camp Trail| San Mateo| 7| out and back walk on paved path along Crystal Springs Reservoir. One of the most popular recreation trails in the Bay Area| Total elevation | about 90 feet
Santa Margarita Open Space Preserve| Marin| 0.25| flat loop hike on a tiny oak-dotted island.| Total elevation | about 20 feet
Horseshoe Pond| San Mateo| 0.2| easy out and back hike to Horseshoe Pond.| Total elevation | imperceptible 
All-access loop  |San Mateo| 0.6| all access loop hike through coastal scrub.| Total elevation | imperceptible 
Alpine Pond Loop| San Mateo| 0.5| easy loop around Alpine Pond.| Total elevation | about 10 feet 
All access Redwood Trail| San Mateo| 0.7| out and back hike is an all access trail through redwoods and huckleberry.| Total elevation | about 20 feet 
Lobos Creek Trail| San Francisco| 0.6| nearly level loop hike on a Presidio interpretive trail. Good choice for plant enthusiasts.| Total elevation | about 50 feet
Bayfront Park| San Mateo| 0.7| loop hike at a small park on the bay.| Total elevation | about 50 feet 
Maxwell Farms Regional Park| Sonoma| 0.7| loop hike through old orchards in the town of Sonoma.| Total elevation | about 50 feet
Bog Loop| San Mateo| 0.7| easy loop hike great for kids and beginners.| Total elevation | about 50 feet 
Chickadee Loop|  San Mateo| 0.75| loop hike on an all-access trail.| Total elevation | about 50 feet 
Mount Davidson| San Francisco| 0.4| loop hike to the city's tallest hill. Exceptional views seemingly only know to locals.| Total elevation | is about 100 feet
Roy's Redwoods Open Space Preserve| Marin| 0.7| loop hike through ancient redwoods off Sir Francis Drake.| Total elevation | about 90 feet
Tiburon Uplands Nature Preserve| Marin| 0.7| loop hike in a heavily wooded preserve.| Total elevation | is about 100 feet
